 %[acid] (cm^-3)         [DMA] (ppt)               T (K)            CS (1/s)       J (cm^-3s^-1)
     1.00000E+09         1.00000E+04         1.80000E+02         1.00000E-04         1.69205E+03
     1.00000E+09         3.16228E+04         1.80000E+02         1.00000E-04         5.59201E+03
     1.00000E+09         1.00000E+05         1.80000E+02         1.00000E-04         1.81271E+04
     1.00000E+09         3.16228E+05         1.80000E+02         1.00000E-04         5.81382E+04
     1.00000E+09         1.00000E+06         1.80000E+02         1.00000E-04         1.85367E+05
     1.00000E+09         3.16228E+06         1.80000E+02         1.00000E-04         5.88961E+05
     1.00000E+09         1.00000E+07         1.80000E+02         1.00000E-04         1.86524E+06
     1.00000E+09         3.16228E+07         1.80000E+02         1.00000E-04         5.86629E+06
     1.00000E+09         1.00000E+08         1.80000E+02         1.00000E-04         1.80501E+07
     1.00000E+09         3.16228E+08         1.80000E+02         1.00000E-04         5.12391E+07
     1.00000E+09         1.00000E+09         1.80000E+02         1.00000E-04         1.05428E+08
     3.16228E+09         1.00000E+04         1.80000E+02         1.00000E-04         5.58958E+03
     3.16228E+09         3.16228E+04         1.80000E+02         1.00000E-04         1.81164E+04
     3.16228E+09         1.00000E+05         1.80000E+02         1.00000E-04         5.80903E+04
     3.16228E+09         3.16228E+05         1.80000E+02         1.00000E-04         1.85165E+05
     3.16228E+09         1.00000E+06         1.80000E+02         1.00000E-04         5.88317E+05
     3.16228E+09         3.16228E+06         1.80000E+02         1.00000E-04         1.86598E+06
     3.16228E+09         1.00000E+07         1.80000E+02         1.00000E-04         5.91170E+06
     3.16228E+09         3.16228E+07         1.80000E+02         1.00000E-04         1.86960E+07
     3.16228E+09         1.00000E+08         1.80000E+02         1.00000E-04         5.87884E+07
     3.16228E+09         3.16228E+08         1.80000E+02         1.00000E-04         1.81155E+08
     3.16228E+09         1.00000E+09         1.80000E+02         1.00000E-04         5.15958E+08
     1.00000E+04         1.00000E+04         1.80000E+02         1.00000E-03         2.48417E-16
     1.00000E+04         3.16228E+04         1.80000E+02         1.00000E-03         4.81569E-14
     1.00000E+04         1.00000E+05         1.80000E+02         1.00000E-03         9.66902E-12
     1.00000E+04         3.16228E+05         1.80000E+02         1.00000E-03         1.24871E-09
     1.00000E+04         1.00000E+06         1.80000E+02         1.00000E-03         4.70818E-08
     1.00000E+04         3.16228E+06         1.80000E+02         1.00000E-03         2.75210E-07
     1.00000E+04         1.00000E+07         1.80000E+02         1.00000E-03         4.50126E-07
     1.00000E+04         3.16228E+07         1.80000E+02         1.00000E-03         5.20930E-07
     1.00000E+04         1.00000E+08         1.80000E+02         1.00000E-03         5.98431E-07
     1.00000E+04         3.16228E+08         1.80000E+02         1.00000E-03         7.12035E-07
     1.00000E+04         1.00000E+09         1.80000E+02         1.00000E-03         7.69519E-07
     3.16228E+04         1.00000E+04         1.80000E+02         1.00000E-03         4.85555E-14
     3.16228E+04         3.16228E+04         1.80000E+02         1.00000E-03         6.86281E-12
     3.16228E+04         1.00000E+05         1.80000E+02         1.00000E-03         1.09452E-09
     3.16228E+04         3.16228E+05         1.80000E+02         1.00000E-03         1.27146E-07
     3.16228E+04         1.00000E+06         1.80000E+02         1.00000E-03         4.63707E-06
     3.16228E+04         3.16228E+06         1.80000E+02         1.00000E-03         2.70002E-05
     3.16228E+04         1.00000E+07         1.80000E+02         1.00000E-03         4.42113E-05
     3.16228E+04         3.16228E+07         1.80000E+02         1.00000E-03         5.11832E-05
     3.16228E+04         1.00000E+08         1.80000E+02         1.00000E-03         5.88000E-05
     3.16228E+04         3.16228E+08         1.80000E+02         1.00000E-03         6.99551E-05
     3.16228E+04         1.00000E+09         1.80000E+02         1.00000E-03         7.55977E-05
     1.00000E+05         1.00000E+04         1.80000E+02         1.00000E-03         1.12550E-11
     1.00000E+05         3.16228E+04         1.80000E+02         1.00000E-03         1.23784E-09
     1.00000E+05         1.00000E+05         1.80000E+02         1.00000E-03         1.43588E-07
     1.00000E+05         3.16228E+05         1.80000E+02         1.00000E-03         1.32740E-05
     1.00000E+05         1.00000E+06         1.80000E+02         1.00000E-03         4.41779E-04
     1.00000E+05         3.16228E+06         1.80000E+02         1.00000E-03         2.54191E-03
     1.00000E+05         1.00000E+07         1.80000E+02         1.00000E-03         4.17696E-03
     1.00000E+05         3.16228E+07         1.80000E+02         1.00000E-03         4.84071E-03
